DATE_TIME,CO,NO2,SO2,CH4
9/1/2025,,87.4378263,20.46229637,1579.333374
9/2/2025,,4.920349243,32.11196189,2653.677532
9/3/2025,148.406185,82.90458425,,2487.423962
9/4/2025,391.5868156,59.41125681,9.860981226,2646.563377
9/5/2025,1264.970869,44.25263193,17.06452307,2519.259452
9/6/2025,1517.624666,30.13629691,11.73247871,2500.396331
9/7/2025,621.8425734,82.46021074,18.71647277,2714.981183
9/8/2025,1619.142235,8.783648233,27.16178336,1868.493857
9/9/2025,1326.624565,77.06151102,19.32104759,1988.728761
9/10/2025,422.8962221,24.9824945,27.11958165,2509.807696
9/11/2025,1042.186905,47.21937047,20.69506536,1598.573878
9/12/2025,698.6243218,48.64255091,23.89324255,2955.242861
9/13/2025,409.2170845,78.464372,19.62563432,2473.952024
9/14/2025,1435.522995,3.716619578,31.40458853,2041.546691
9/15/2025,1741.321478,,13.99064182,2057.937129
9/16/2025,495.0012251,9.883786319,42.80658704,1352.861274
9/17/2025,242.0544372,77.96744082,34.43176451,2447.708644
9/18/2025,1126.032318,82.18159886,20.40996258,3251.996526
9/19/2025,1339.287687,69.5790327,22.06294964,1714.808451
9/20/2025,569.6060084,4.131129334,39.47396126,2579.667861
9/21/2025,1265.020759,32.69529899,37.87338987,1990.423424
9/22/2025,,56.67553412,30.37884168,3140.600635
9/23/2025,182.4237136,13.1217338,5.812398504,2089.70224
9/24/2025,334.3777039,74.34093489,44.80459335,1613.053066
9/25/2025,417.8446244,1.092921122,39.8167824,1875.735728
9/26/2025,1790.340432,62.89007602,17.02004353,2594.871694
9/27/2025,985.1311744,51.27925705,15.55258346,1912.316472
9/28/2025,1083.94221,,36.1986218,3137.119082
9/29/2025,1349.192399,55.95520277,3.553513287,3131.037999
9/30/2025,1021.335013,77.43541577,43.97821521,1538.055817
10/1/2025,1652.361048,64.36846379,32.88034545,2488.388159
10/2/2025,1473.464257,58.37407367,2.026549404,2705.846656
10/3/2025,785.0963122,61.70868652,27.28027032,1538.940749
10/4/2025,707.2813828,42.3678653,8.352273418,1488.131441
10/5/2025,1719.890415,36.33675056,43.30116712,3151.693295
10/6/2025,684.1736824,10.10624224,39.52542033,2671.53637
10/7/2025,1570.669688,3.407344347,30.45967501,2976.361941
10/8/2025,1511.472111,40.59194495,7.537497509,1667.294
10/9/2025,1014.874464,56.53374506,11.25775636,1440.623075
10/10/2025,1668.197933,29.85111453,2.843703734,2032.769265
10/11/2025,265.1490156,50.11957127,39.07473536,1904.294272
10/12/2025,274.8407384,62.56151772,18.55669183,3277.069164
10/13/2025,1292.562403,4.559768156,28.326777,2496.454934
10/14/2025,1613.815778,58.23033058,25.30522653,2981.213953
10/15/2025,371.2525115,75.98464759,6.996133563,2182.392762
10/16/2025,568.4733263,69.41564173,3.074654125,1309.600256
10/17/2025,1243.2356,6.920223209,28.37304152,1331.91825
10/18/2025,379.3153108,33.86639398,35.64093731,1625.740678
10/19/2025,1292.330932,45.3908795,9.760084996,3169.763884
10/20/2025,928.9798777,36.77547916,15.04724192,1513.326136
10/21/2025,1257.152206,,35.21908053,1905.733837
10/22/2025,986.631927,80.78208021,27.91185901,3259.216247
10/23/2025,173.7743805,84.40085585,20.42707411,2112.246162
10/24/2025,480.692226,9.446371643,40.7371427,2514.634185
10/25/2025,1077.848648,21.56408865,36.06220798,2182.265752
10/26/2025,304.7372222,1.039337542,16.76000357,2086.920542
10/27/2025,950.1984135,46.67306841,13.37858787,3131.597527
10/28/2025,334.616266,72.57408338,24.40276501,3201.218856
